"Time","Farm","Attacker","X","Y","CaptureDate"
"2025-11-28 14:19:12","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"2025-11-28 14:19:01","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"2025-11-28 14:18:56","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"2025-11-28 14:18:52","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"2025-11-28 14:18:43","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"2025-11-28 13:29:56","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"2025-11-28 13:29:54","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"2025-11-28 13:29:23","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"2025-11-28 13:29:21","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"2025-11-28 13:29:00","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"2025-11-28 13:28:58","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"14:19:12","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"14:19:01","Pig ie Nissu","Pigwin","662","512","2025-11-28"
"14:18:56","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"14:18:52","Pig Farm Nissu","Pigwin","662","512","2025-11-28"
"13:29:23","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"13:29:21","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"43:29:00","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
"13:28:58","KO J Farm FFF4","Aliah V","684","543","2025-11-28"
