"Time","Farm","Attacker","X","Y","CaptureDate"
"09:30:32","AMARGO FARM","AMARGO","680","492","2025-11-27"
"09:32:29","AMARGO FARM","AMARGO","680","492","2025-11-27"
"13:26:43","KO J Farm FFF6","Aliah V","689","540","2025-11-27"
"13:27:20","KO J Farm FFF5","Aliah V","687","543","2025-11-27"
"13:27:40","KO J Farm FFF5","Aliah V","687","543","2025-11-27"
"13:27:40","KO J Farm FFFS5","Aliah V","687","543","2025-11-27"
"13:27:43","KO J Farm FFF5","Aliah V","687","543","2025-11-27"
"13:28:09","KO J Farm FFF5","Aliah V","687","543","2025-11-27"
"13:28:11","KO J Farm FFF5","Aliah V","687","543","2025-11-27"
"13:28:58","KO J Farm FFF4","Aliah V","684","543","2025-11-27"
"13:29:00","KO J Farm FFF4","Aliah V","684","543","2025-11-27"
"13:29:21","KO J Farm FFF4","Aliah V","684","543","2025-11-27"
"13:29:23","KO J Farm FFF4","Aliah V","684","543","2025-11-27"
"23:02:56","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:01","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:04","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:04","Globe Farm CCC4","GLOBE VARANASI","342","455",""
"23:03:08","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:08","Globe Farm CCC4","GLOBE VARANASI","342","455",""
"23:03:18","KO J Farm FFF3","ssolove","688","537",""
"23:03:39","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:43","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:03:47","Globe Farm CCC4","GLOBE VARANASI","312","455",""
"23:04:16","Globe Farm CCC5","GLOBE VARANASI","309","457",""
"23:04:22","Globe Farm CCC5","GLOBE VARANASI","309","457",""
"23:04:25","Globe Farm CCC5","GLOBE VARANASI","309","457",""
"23:04:46","Globe Farm CCC5","GLOBE VARANASI","309","457",""
